sasdate,INDPRO,S&P 500,PAYEMS,CPIAUCSL,BUSINVx
1959-04-01,0.008256653316945979,0.007577633867738702,0.003954437017004646,0.00027866071793121314,0.007187923097862899
1959-05-01,0.009278248539413995,0.005135407225947915,0.004267873462754854,-0.00032604915575417596,0.011164459339681333
1959-06-01,0.006850858025493374,0.005784481202988346,0.0033158292639091534,-0.0004549799894124167,0.0068438851847937325
1959-07-01,0.0036514128732431346,0.0014033626068616688,0.00211598771670583,-7.807721747742685e-05,0.007513969802750818
1959-08-01,-0.0003161868646336186,0.014450788684635339,0.0008059092122513059,0.00028980973478545446,0.005074912539927121
1959-09-01,-0.007281788772958467,0.00675464446713951,-0.002328883727921638,5.322300511139818e-06,-0.00042859261789957893
1959-10-01,0.0016964025463409229,-0.005383869691669506,0.0013512710682848067,-0.0004059262246434568,0.0004305036955482879
1959-11-01,-0.001005092208264551,0.005328033755000888,0.0002160588362472033,-0.0003321263223127516,0.002635307768921601
1959-12-01,0.0020293763210429113,0.005261024173396586,0.0015894784610927116,0.0010160451700114966,0.0019511634441848435
1960-01-01,0.017840160223424953,0.005209743138456971,0.007427422626083978,-0.00043185241301274655,0.013287416957300046
1960-02-01,0.007821155771166006,-0.0024078219097096844,0.0034707360142274277,0.0010763135040887447,0.008394133183833734
1960-03-01,0.002132900772692674,-0.005464006136783881,0.0017188932360016188,-0.0008011083789311836,0.007468490696853532
1960-04-01,-0.0046401325566460625,0.003871175657754953,-0.001149582785472704,0.00033174621029045015,0.003312514675243649
1960-05-01,0.004301807818039062,0.006202669557416627,0.0026506591259997814,-0.0012773058601629526,0.0035201344741978306
1960-06-01,-0.0021457036513928313,0.0039036986742990547,-0.0005186302805563088,0.0009634427335013536,0.0033362533342785033
1960-07-01,-0.003942279189770289,0.015590980341063975,-0.0009142961331430328,-0.00016335604741539686,0.001017053295382498
1960-08-01,-0.0017892169987408293,-0.00012816926605603378,-8.970779031268147e-05,0.0009637347792089687,0.0026156367451488213
1960-09-01,-0.0003661383671078478,0.008191011985907298,0.00044284694990365985,-0.0012291517057259353,0.0006186532684732406
1960-10-01,-0.00135438018479635,-0.0017112762642245989,0.00013413955511474424,0.0005691857138261044,0.0018524654429273445
1960-11-01,-0.0021152605708905153,0.0013030525625176532,-0.0002742711426412818,-0.0014459087175586192,0.00034213189402360327
1960-12-01,-0.004249094581505939,0.014651022750253581,-0.0010694674106357285,0.001035209357244702,0.0001636740944119799
1961-01-01,-0.005849684387798759,0.013356392377014583,-0.001675243812357588,-8.380452480922566e-05,-0.005911215800728307
1961-02-01,-0.000752700456645597,0.0176198934716417,0.0002507126013788076,-2.901491200723116e-05,-8.905399915415694e-05
1961-03-01,-0.0013934079799971318,0.015490814558576626,-3.6849834800924824e-05,0.0002625407895695048,-1.2880608768424395e-05
1961-04-01,0.003072345114022548,0.011270935978764706,0.001824988056021775,1.4577229732038666e-05,0.00034168796998186325
1961-05-01,0.002862916280153553,0.010410039931068496,0.0014969082756551414,0.00030712149465612654,0.0026022480687936714
1961-06-01,0.005216336781714246,0.005370609648994124,0.002620399373398017,-0.0005600984360574544,0.003968906387706627
1961-07-01,0.006150746748953375,-0.0007344789816291833,0.003019396454619726,0.0003476470164296027,0.0036236596475066234
1961-08-01,0.0032181379296318106,0.0031359373294958222,0.0018750471500818351,-0.0007804054019128139,0.003821034628207443
1961-09-01,0.006197190151067243,0.01093435286591576,0.0030626594537279186,0.0006474879195424803,0.0062161396068228895
1961-10-01,0.000690838123774582,0.0029311767659232274,0.0009621450563001015,-0.00020974303928824966,0.003752355541761916
1961-11-01,0.006893728279556071,0.004838414155278601,0.0032057210954191187,0.00045287565488949944,0.005100264245506524
1961-12-01,0.007253420986776289,0.0126938767550762,0.003453256522574392,6.14968708168807e-05,0.007316597180467275
1962-01-01,0.004351772448351467,0.005485236644274855,0.0023160902850357687,-0.000268094135291651,0.0037988956660259957
1962-02-01,0.00044351904056807567,-0.004298256254783088,0.0008661248061646454,-1.2281799717567311e-05,0.004518824522515285
1962-03-01,0.006709327042040901,0.006239945751645917,0.0033066334249805306,-0.00033972271860963684,0.006905572392582165
1962-04-01,0.003487527112121182,0.003854673054147286,0.001973578942410007,0.00011971278143012926,0.005952487291545684
1962-05-01,0.004548157913798588,-0.004726779486526538,0.002624863878629438,0.00023080209398096448,0.004159718792489579
1962-06-01,0.0015299496177181783,-0.014219326419411888,0.0012230764811641149,9.697368265727326e-05,0.005612768780019795
1962-07-01,0.0008038385382633578,-0.025247383999530852,0.0009451148362670107,0.0005796049994357767,0.004179541488568898
1962-08-01,0.004043491031595263,0.009152001292447426,0.002163325877880491,-0.0003680141813181466,0.0048895795525503785
1962-09-01,0.0018294844384057047,0.010812447737378725,0.0013791140080943076,-0.0004896408430676613,0.004473131021404318
1962-10-01,0.0035682589053966634,0.001431094074500755,0.002042953642471048,-0.000760665682155408,0.006198565971097312
1962-11-01,0.001861036942719338,-0.00342983701498027,0.0013648413898460394,0.0017626357169647088,0.004635595525549798
1962-12-01,0.002453392013027222,0.02016865650010761,0.0015217334546647724,-0.0003830783183894613,0.0027561372633119773
1963-01-01,0.0012315078266041148,0.014830977209909982,0.001051013255067863,-5.563248319637133e-06,0.00258613208630866
1963-02-01,0.003102429776906181,0.012965791379404892,0.0018083866135813302,-0.0005714590885413282,0.00360888595380166
1963-03-01,0.003952232296007078,0.0066346325403896286,0.0021240092798871547,0.00021957285247557358,0.004534032384268061
1963-04-01,0.0039848665434047675,0.002476746911768489,0.002158528805862331,0.00012318876624963586,0.004160198118291705
